batch,sequence,claimCode,status,deviceId,label,macAddress,chipId
BATCH-20260714,1,J92F-CNXF,UNUSED,,,,
BATCH-20260714,2,PZH6-XM3R,UNUSED,,,,
BATCH-20260714,3,48UK-RBAC,UNUSED,,,,
BATCH-20260714,4,P3FD-JTGV,UNUSED,,,,
BATCH-20260714,5,HY6X-UDQN,UNUSED,,,,
BATCH-20260714,6,47JJ-CNYB,UNUSED,,,,
BATCH-20260714,7,25FJ-T82R,UNUSED,,,,
BATCH-20260714,8,CDKJ-YZRU,UNUSED,,,,
BATCH-20260714,9,RP2N-XHLN,UNUSED,,,,
BATCH-20260714,10,PAYT-EM25,UNUSED,,,,
BATCH-20260714,11,NMDN-PLLH,UNUSED,,,,
BATCH-20260714,12,HHG8-78CZ,UNUSED,,,,
BATCH-20260714,13,DYB2-XVDF,UNUSED,,,,
BATCH-20260714,14,XABK-U96G,UNUSED,,,,
BATCH-20260714,15,J83T-Y9FC,UNUSED,,,,
BATCH-20260714,16,8C55-UYL9,UNUSED,,,,
BATCH-20260714,17,VMGB-GASF,UNUSED,,,,
BATCH-20260714,18,9WN8-DANT,UNUSED,,,,
BATCH-20260714,19,9VDC-QBMA,UNUSED,,,,
BATCH-20260714,20,NCRF-AF3A,UNUSED,,,,
BATCH-20260714,21,C79H-KW8A,UNUSED,,,,
BATCH-20260714,22,PC7C-WHEK,UNUSED,,,,
BATCH-20260714,23,8T27-4QHD,UNUSED,,,,
BATCH-20260714,24,UMCL-2TQQ,UNUSED,,,,
BATCH-20260714,25,4EPN-DLEF,UNUSED,,,,
BATCH-20260714,26,UZLC-5XC7,UNUSED,,,,
BATCH-20260714,27,NP8E-6C3Y,UNUSED,,,,
BATCH-20260714,28,HYEQ-4VKE,UNUSED,,,,
BATCH-20260714,29,YHUR-FMZ4,UNUSED,,,,
BATCH-20260714,30,52AS-6GS7,UNUSED,,,,
BATCH-20260714,31,JG9F-MDLN,UNUSED,,,,
BATCH-20260714,32,Y96K-M9U5,UNUSED,,,,
BATCH-20260714,33,9KTM-CK9A,UNUSED,,,,
BATCH-20260714,34,FEUN-ZQ9S,UNUSED,,,,
BATCH-20260714,35,6NYF-MMA7,UNUSED,,,,
BATCH-20260714,36,AFM8-69LR,UNUSED,,,,
BATCH-20260714,37,SKJ5-YHFR,UNUSED,,,,
BATCH-20260714,38,EQ32-827S,UNUSED,,,,
BATCH-20260714,39,NTQS-ERDB,UNUSED,,,,
BATCH-20260714,40,VR25-Y8HP,UNUSED,,,,
BATCH-20260714,41,JAQD-X3AG,UNUSED,,,,
BATCH-20260714,42,TWX3-YGND,UNUSED,,,,
BATCH-20260714,43,CGX6-H9KJ,UNUSED,,,,
BATCH-20260714,44,7NMS-UVE4,UNUSED,,,,
BATCH-20260714,45,3V5W-B3N7,UNUSED,,,,
BATCH-20260714,46,JV3S-R459,UNUSED,,,,
BATCH-20260714,47,9TYN-4AYP,UNUSED,,,,
BATCH-20260714,48,VWK3-6ZYP,UNUSED,,,,
BATCH-20260714,49,K9Y4-78MU,UNUSED,,,,
BATCH-20260714,50,UQJ7-9VRU,UNUSED,,,,
BATCH-20260714,51,JDL6-AH73,UNUSED,,,,
BATCH-20260714,52,6LYR-XJQ4,UNUSED,,,,
BATCH-20260714,53,YTUW-9GC9,UNUSED,,,,
BATCH-20260714,54,WQ3B-9ZHK,UNUSED,,,,
BATCH-20260714,55,EUCL-RDAR,UNUSED,,,,
BATCH-20260714,56,THMR-W7MD,UNUSED,,,,
BATCH-20260714,57,WCYS-5JWK,UNUSED,,,,
BATCH-20260714,58,7HDY-WESK,UNUSED,,,,
BATCH-20260714,59,XWLM-Y4KH,UNUSED,,,,
BATCH-20260714,60,4AA5-2BC2,UNUSED,,,,
BATCH-20260714,61,MCUR-8249,UNUSED,,,,
BATCH-20260714,62,D7HZ-FART,UNUSED,,,,
BATCH-20260714,63,6UWS-T6F6,UNUSED,,,,
BATCH-20260714,64,U8JV-YJQ8,UNUSED,,,,
BATCH-20260714,65,H3JF-PA3S,UNUSED,,,,
BATCH-20260714,66,K7H4-Y6VA,UNUSED,,,,
BATCH-20260714,67,GG32-4YSX,UNUSED,,,,
BATCH-20260714,68,K96A-HGFJ,UNUSED,,,,
BATCH-20260714,69,3DRH-MSB3,UNUSED,,,,
BATCH-20260714,70,8YLL-2T84,UNUSED,,,,
BATCH-20260714,71,B86S-3D5L,UNUSED,,,,
BATCH-20260714,72,QX55-BEFM,UNUSED,,,,
BATCH-20260714,73,BDN5-74KV,UNUSED,,,,
BATCH-20260714,74,CDAS-WZS9,UNUSED,,,,
BATCH-20260714,75,AM3H-MLWU,UNUSED,,,,
BATCH-20260714,76,X9DJ-9PX9,UNUSED,,,,
BATCH-20260714,77,C9GS-J2CZ,UNUSED,,,,
BATCH-20260714,78,NW6Z-U2UM,UNUSED,,,,
BATCH-20260714,79,4GCZ-9YR6,UNUSED,,,,
BATCH-20260714,80,PNDT-289Y,UNUSED,,,,
BATCH-20260714,81,J8AH-JVPY,UNUSED,,,,
BATCH-20260714,82,HPN4-29S8,UNUSED,,,,
BATCH-20260714,83,PT9W-P9LM,UNUSED,,,,
BATCH-20260714,84,N5HS-VS7A,UNUSED,,,,
BATCH-20260714,85,8694-FH38,UNUSED,,,,
BATCH-20260714,86,DXKB-HP4F,UNUSED,,,,
BATCH-20260714,87,P9Y4-VXTZ,UNUSED,,,,
BATCH-20260714,88,Q5JQ-X2M3,UNUSED,,,,
BATCH-20260714,89,TFCE-2FSE,UNUSED,,,,
BATCH-20260714,90,S74Z-HGHW,UNUSED,,,,
BATCH-20260714,91,JQ6T-V4Y3,UNUSED,,,,
BATCH-20260714,92,YPQM-9U2N,UNUSED,,,,
BATCH-20260714,93,W4SV-A46N,UNUSED,,,,
BATCH-20260714,94,P3CF-973J,UNUSED,,,,
BATCH-20260714,95,SGC9-HAYF,UNUSED,,,,
BATCH-20260714,96,TH5T-GGW6,UNUSED,,,,
BATCH-20260714,97,7X8B-ECE2,UNUSED,,,,
BATCH-20260714,98,MZA9-QEGF,UNUSED,,,,
BATCH-20260714,99,LTP6-SA2V,UNUSED,,,,
BATCH-20260714,100,BF3J-M257,UNUSED,,,,
